venue,trade_id,trade_size
VenueA_reference,84,54.1174
VenueA_reference,85,22.2421
VenueA_reference,86,11.2043
VenueA_reference,87,74.5221
VenueA_reference,88,70
VenueA_reference,89,70
VenueA_reference,90,16.2235
VenueA_reference,91,35.6208
VenueA_reference,92,29.2622
VenueA_reference,93,31.0349
VenueA_reference,94,40
VenueA_reference,95,37.362
VenueA_reference,96,206.5164
VenueA_reference,97,14.1112
VenueA_reference,98,16.4169
VenueA_reference,99,148.0088
VenueA_reference,100,12.9203
VenueA_reference,101,40.2885
VenueA_reference,102,9.6571
VenueA_reference,103,50
VenueA_reference,104,26.3698
VenueA_reference,105,220.3132
VenueA_reference,106,10
VenueA_reference,107,10.6548
VenueA_reference,108,7.0182
VenueA_reference,109,4.3651
VenueA_reference,110,10
VenueA_reference,111,160
VenueA_reference,112,20.9928
VenueA_reference,113,25.3413
VenueA_reference,114,73.6576
VenueA_reference,115,650.4201
VenueA_reference,116,48.8338
VenueA_reference,117,85.9952
VenueA_reference,118,54.3635
VenueA_reference,119,7.4133
VenueA_reference,120,27.0557
VenueA_reference,121,8.8925
VenueA_reference,122,10
VenueA_reference,123,5.4391
VenueA_reference,124,6.9452
VenueA_reference,125,20.4469
VenueA_reference,126,130.2972
VenueA_reference,127,8.7444
VenueA_reference,128,93.5878
VenueA_reference,129,29.9484
VenueA_reference,130,10
VenueA_reference,131,10.2148
VenueA_reference,132,10
VenueA_reference,133,30.4336
VenueA_reference,134,27.4823
VenueA_reference,135,10
VenueA_reference,136,18.8576
VenueA_reference,137,50.4913
VenueA_reference,138,50
VenueA_reference,139,79.6308
VenueA_reference,140,12.3977
VenueA_reference,141,28.2284
VenueA_reference,142,42.529
VenueA_reference,143,39.6598
VenueA_reference,144,7.5184
VenueA_reference,145,90.265
VenueA_reference,146,31.2824
VenueA_reference,147,110
VenueA_reference,148,15.5092
VenueA_reference,149,24.9163
VenueA_reference,150,45.5228
VenueA_reference,151,95.3839
VenueA_reference,152,16.1877
VenueA_reference,153,3.1379
VenueA_reference,154,23.3324
VenueA_reference,155,1.683
VenueA_reference,156,10.7954
VenueA_reference,157,19.8116
VenueA_reference,158,12.271
VenueA_reference,159,2.4877
VenueA_reference,160,51.3274
VenueA_reference,161,61.7728
VenueA_reference,162,42.6956
VenueA_reference,163,39.4182
VenueA_reference,164,22.247
VenueA_reference,165,46.0837
VenueA_reference,166,10
VenueA_reference,167,13.4773
VenueA_reference,168,40
VenueA_reference,169,22.2329
VenueA_reference,170,30
VenueA_reference,171,10
VenueA_reference,172,30
VenueA_reference,173,84.9074
VenueA_reference,174,31.1702
VenueA_reference,175,104.4577
VenueA_reference,176,20.4101
VenueA_reference,177,28.6414
VenueA_reference,178,58.6509
VenueA_reference,179,26.3238
VenueA_reference,180,10.1655
VenueA_reference,181,12.9957
VenueA_reference,182,10
VenueA_reference,183,30.7864
VenueA_reference,184,81.0743
VenueA_reference,185,91.5552
VenueA_reference,186,89.4942
VenueA_reference,187,389.6769
VenueA_reference,188,6.5883
VenueA_reference,189,16.2137
VenueA_reference,190,20
VenueA_reference,191,6.1115
VenueA_reference,192,15.3131
VenueA_reference,193,95.2728
VenueA_reference,194,56.2771
VenueA_reference,195,58.6773
VenueA_reference,196,40
VenueA_reference,197,16.5896
VenueA_reference,198,61.2953
VenueA_reference,199,81.0981
VenueA_reference,200,15.3297
VenueA_reference,201,17.4848
VenueA_reference,202,44.3146
VenueA_reference,203,10.5933
VenueA_reference,204,60
VenueA_reference,205,78.8415
VenueA_reference,206,36.1295
VenueA_reference,207,30
VenueA_reference,208,30
VenueA_reference,209,22.7613
VenueA_reference,210,24.2925
VenueA_reference,211,2.3354
VenueA_reference,212,9.2099
VenueA_reference,213,106.8803
VenueA_reference,214,58.1404
VenueA_reference,215,2.6665
VenueA_reference,216,52.8147
VenueA_reference,217,24.0257
VenueA_reference,218,13.5589
VenueA_reference,219,20
VenueA_reference,220,54.1224
VenueA_reference,221,101.9157
VenueA_reference,222,13.7204
VenueA_reference,223,130
VenueA_reference,224,24.769
VenueA_reference,225,77.2416
VenueA_reference,226,18.7985
VenueA_reference,227,33.5824
VenueA_reference,228,82.8425
VenueA_reference,229,138.9435
VenueA_reference,230,66.3078
VenueA_reference,231,116.689
VenueA_reference,232,422.2842
VenueA_reference,233,50
VenueA_reference,234,148.5189
VenueA_reference,235,10
VenueA_reference,236,27.7483
VenueA_reference,237,130.6991
VenueA_reference,238,22.4359
VenueA_reference,239,8.5761
VenueA_reference,240,37.1916
VenueB_anomalous,1,58.4759
VenueB_anomalous,2,41.9905
VenueB_anomalous,3,58.4618
VenueB_anomalous,4,37.5053
VenueB_anomalous,5,35.6461
VenueB_anomalous,6,41.5798
VenueB_anomalous,7,59.8442
VenueB_anomalous,8,101.9972
VenueB_anomalous,9,72.9627
VenueB_anomalous,10,58.4861
VenueB_anomalous,11,88.0301
VenueB_anomalous,12,58.5264
VenueB_anomalous,13,34.0416
VenueB_anomalous,14,37.4975
VenueB_anomalous,15,19.0216
VenueB_anomalous,16,87.9893
VenueB_anomalous,17,87.9699
VenueB_anomalous,18,27.2041
VenueB_anomalous,19,41.9977
VenueB_anomalous,20,26.0358
VenueB_anomalous,21,33.372
VenueB_anomalous,22,37.5357
VenueB_anomalous,23,37.4788
VenueB_anomalous,24,58.5136
VenueB_anomalous,25,28.7247
VenueB_anomalous,26,37.5267
VenueB_anomalous,27,21.1363
VenueB_anomalous,28,42.0284
VenueB_anomalous,29,172.2993
VenueB_anomalous,30,42.0375
VenueB_anomalous,31,24.5305
VenueB_anomalous,32,21.7462
VenueB_anomalous,33,40.4949
VenueB_anomalous,34,42.0231
VenueB_anomalous,35,42.039
VenueB_anomalous,36,23.502
VenueB_anomalous,37,37.4739
VenueB_anomalous,38,39.6138
VenueB_anomalous,39,37.0204
VenueB_anomalous,40,66.1555
VenueB_anomalous,41,19.0922
VenueB_anomalous,42,33.6767
VenueB_anomalous,43,87.9719
VenueB_anomalous,44,46.0139
VenueB_anomalous,45,58.4963
VenueB_anomalous,46,37.5282
VenueB_anomalous,47,45.476
VenueB_anomalous,48,58.5262
VenueB_anomalous,49,29.6513
VenueB_anomalous,50,48.1504
VenueB_anomalous,51,72.9677
VenueB_anomalous,52,40.6595
VenueB_anomalous,53,37.4929
VenueB_anomalous,54,18.0488
VenueB_anomalous,55,58.4881
VenueB_anomalous,56,72.9779
VenueB_anomalous,57,23.7913
VenueB_anomalous,58,69.1405
VenueB_anomalous,59,58.4623
VenueB_anomalous,60,60.4271
VenueB_anomalous,61,72.9656
VenueB_anomalous,62,18.7045
VenueB_anomalous,63,41.9896
VenueB_anomalous,64,38.7459
VenueB_anomalous,65,87.964
VenueB_anomalous,66,72.9989
VenueB_anomalous,67,87.9691
VenueB_anomalous,68,87.9989
VenueB_anomalous,69,73.0388
VenueB_anomalous,70,42.0214
VenueB_anomalous,71,37.4606
VenueB_anomalous,72,73.0026
VenueB_anomalous,73,58.4658
VenueB_anomalous,74,37.4968
VenueB_anomalous,75,73.0059
VenueB_anomalous,76,37.4924
VenueB_anomalous,77,87.9968
VenueB_anomalous,78,73.0276
VenueB_anomalous,79,87.9663
VenueB_anomalous,80,13.8307
VenueB_anomalous,81,37.6868
VenueB_anomalous,82,41.9789
VenueB_anomalous,83,87.9722
VenueB_anomalous,84,72.9971
VenueB_anomalous,85,88.0114
VenueB_anomalous,86,58.4721
VenueB_anomalous,87,58.5237
VenueB_anomalous,88,37.4848
VenueB_anomalous,89,58.4661
VenueB_anomalous,90,43.8211
VenueB_anomalous,91,37.496
VenueB_anomalous,92,28.1416
VenueB_anomalous,93,37.5249
VenueB_anomalous,94,14.7789
VenueB_anomalous,95,41.8153
VenueB_anomalous,96,58.5143
VenueB_anomalous,97,30.2522
VenueB_anomalous,98,58.5179
VenueB_anomalous,99,56.3887
VenueB_anomalous,100,58.4848
VenueB_anomalous,101,13.6838
VenueB_anomalous,102,58.5251
VenueB_anomalous,103,65.7559
VenueB_anomalous,104,33.3596
VenueB_anomalous,105,41.9873
VenueB_anomalous,106,41.9724
VenueB_anomalous,107,37.0734
VenueB_anomalous,108,58.5301
VenueB_anomalous,109,41.973
VenueB_anomalous,110,48.7111
VenueB_anomalous,111,42.0376
VenueB_anomalous,112,48.7166
VenueB_anomalous,113,17.5615
VenueB_anomalous,114,58.5222
VenueB_anomalous,115,42.0254
VenueB_anomalous,116,58.4642
VenueB_anomalous,117,37.5169
VenueB_anomalous,118,37.521
VenueB_anomalous,119,22.5568
VenueB_anomalous,120,73.0308
VenueB_anomalous,121,73.0002
VenueB_anomalous,122,33.1364
VenueB_anomalous,123,63.7471
VenueB_anomalous,124,73.0157
VenueB_anomalous,125,35.1671
VenueB_anomalous,126,42.0039
VenueB_anomalous,127,37.5221
VenueB_anomalous,128,41.9936
VenueB_anomalous,129,37.5269
VenueB_anomalous,130,88.006
VenueB_anomalous,131,37.5092
VenueB_anomalous,132,37.5019
VenueB_anomalous,133,42.9196
VenueB_anomalous,134,72.9635
VenueB_anomalous,135,37.4886
VenueB_anomalous,136,37.5217
VenueB_anomalous,137,37.4882
VenueB_anomalous,138,82.1769
VenueB_anomalous,139,42.0249
VenueB_anomalous,140,34.9445
VenueB_anomalous,141,37.4852
VenueB_anomalous,142,87.9979
VenueB_anomalous,143,11.0483
VenueB_anomalous,144,15.2946
VenueB_anomalous,145,73.0316
VenueB_anomalous,146,36.3854
VenueB_anomalous,147,37.5182
VenueB_anomalous,148,42.0036
VenueB_anomalous,149,58.4845
VenueB_anomalous,150,72.9881
VenueB_anomalous,151,43.2386
VenueB_anomalous,152,50
VenueB_anomalous,153,58.489
VenueB_anomalous,154,42.0143
VenueB_anomalous,155,37.5059
VenueB_anomalous,156,58.48
VenueB_anomalous,157,36.5542
VenueB_anomalous,158,58.5163
VenueB_anomalous,159,72.976
VenueB_anomalous,160,42.0319
VenueB_anomalous,161,58.5134
VenueB_anomalous,162,58.5313
VenueB_anomalous,163,58.0638
VenueB_anomalous,164,41.9789
VenueB_anomalous,165,87.9895
VenueB_anomalous,166,88.0307
VenueB_anomalous,167,73.0021
VenueB_anomalous,168,44.6913
VenueB_anomalous,169,88.0112
VenueB_anomalous,170,20.4384
VenueB_anomalous,171,41.9843
VenueB_anomalous,172,37.3516
VenueB_anomalous,173,87.982
VenueB_anomalous,174,37.5002
VenueB_anomalous,175,16.7391
VenueB_anomalous,176,87.9633
VenueB_anomalous,177,87.9812
VenueB_anomalous,178,88.0111
VenueB_anomalous,179,34.2124
VenueB_anomalous,180,37.5151
VenueB_anomalous,181,72.9763
VenueB_anomalous,182,58.5187
VenueB_anomalous,183,23.2699
VenueB_anomalous,184,72.9698
VenueB_anomalous,185,37.4832
VenueB_anomalous,186,42.037
VenueB_anomalous,187,27.5271
VenueB_anomalous,188,58.4998
VenueB_anomalous,189,73.0373
VenueB_anomalous,190,37.4825
VenueB_anomalous,191,40
VenueB_anomalous,192,42.0306
VenueB_anomalous,193,30.7947
VenueB_anomalous,194,87.9831
VenueB_anomalous,195,87.9824
VenueB_anomalous,196,24.5488
VenueB_anomalous,197,46.7937
VenueB_anomalous,198,37.4631
VenueB_anomalous,199,37.2457
VenueB_anomalous,200,87.9855
VenueB_anomalous,201,58.5075
VenueB_anomalous,202,73.0167
VenueB_anomalous,203,26.8012
VenueB_anomalous,204,37.5078
VenueB_anomalous,205,35.4554
VenueB_anomalous,206,21.7883
VenueB_anomalous,207,37.4753
VenueB_anomalous,208,73.0152
VenueB_anomalous,209,44.4407
VenueB_anomalous,210,58.5398
VenueB_anomalous,211,41.9968
VenueB_anomalous,212,58.5088
VenueB_anomalous,213,87.9839
VenueB_anomalous,214,74.3958
VenueB_anomalous,215,72.9879
VenueB_anomalous,216,29.9893
VenueB_anomalous,217,73.0255
VenueB_anomalous,218,29.1634
VenueB_anomalous,219,73.0125
VenueB_anomalous,220,87.9817
VenueB_anomalous,221,37.5093
VenueB_anomalous,222,87.9781
VenueB_anomalous,223,58.5174
VenueB_anomalous,224,63.9774
VenueB_anomalous,225,35.8109
VenueB_anomalous,226,37.5326
VenueB_anomalous,227,88.0191
VenueB_anomalous,228,41.9934
VenueB_anomalous,229,48.0962
VenueB_anomalous,230,30.912
VenueB_anomalous,231,58.4828
VenueB_anomalous,232,73.0311
VenueB_anomalous,233,58.4754
VenueB_anomalous,234,73.0119
VenueB_anomalous,235,58.5233
VenueB_anomalous,236,37.074
VenueB_anomalous,237,41.9982
VenueB_anomalous,238,72.9788
VenueB_anomalous,239,20
VenueB_anomalous,240,42.8914
